marca;modelo;ano;tipo_carroceria;tipo_combustivel;transmissão;quilometragem;preço;condição;estado;uf;pais;idade;km_ano
Tesla;Model 3;2019;Coupe;Electric;Manual;46134;19919,00;good;New Lindsey;GA;US;6;7689,00
Nissan;Rogue;2024;Sedan;Hybrid;Automatic;16109;19480,00;good;Pughtown;CO;US;1;16109,00
Hyundai;i20;2018;Crossover;Petrol;Automatic;173239;4556,00;good;Satna;HR;India;7;24748,43
Kia;Sportage;2023;Hatchback;Diesel;CVT;36810;11536,00;fair;山武市;Osaka;Japan;2;18405,00
Kia;Seltos;2020;Pickup;Diesel;Automatic;87749;14098,00;good;長生郡長生村;Osaka;Japan;5;17549,80
Mercedes-Benz;GLA;2019;Crossover;Electric;CVT;60853;17137,00;excellent;Christopherfort;NB;Canada;6;10142,17
Kia;Sorento;2013;Coupe;Petrol;Manual;92762;2436,00;fair;West Susanburgh;NB;Canada;12;7730,17
Tata;Altroz;2017;Crossover;Petrol;CVT;204753;2620,00;excellent;Perrot-sur-Mer;NAQ;France;8;25594,12
Chevrolet;Silverado;2018;Crossover;Petrol;CVT;103322;5325,00;good;Lake Taylor;TAS;Australia;7;14760,29
Chevrolet;Silverado;2015;Crossover;Electric;Manual;119321;2812,00;good;Mckenzieside;TAS;Australia;10;11932,10
Toyota;Camry;2023;Crossover;Petrol;Automatic;25103;22387,00;excellent;Port Julie;BC;Canada;2;12551,50
Skoda;Octavia;2014;Crossover;Petrol;Automatic;235126;1738,00;fair;Bidar;RJ;India;11;21375,09
Chevrolet;Malibu;2024;Convertible;Petrol;Manual;8796;41256,00;new;New Kevinfort;SA;Australia;1;8796,00
Kia;Sorento;2023;Van;Petrol;Automatic;20300;22175,00;excellent;Martinburgh;IL;US;2;10150,00
Tata;Nexon;2023;MPV;Diesel;Automatic;31363;13669,00;excellent;North Katherine;TAS;Australia;2;15681,50
Audi;A6;2011;Crossover;Petrol;Automatic;144829;1926,00;good;South Matthew;NC;US;14;10344,93
Kia;Sorento;2025;Hatchback;Diesel;AMT;102993;23304,00;excellent;Port Debramouth;TAS;Australia;0;13684,21
Chevrolet;Silverado;2020;MPV;Petrol;Automatic;76339;9226,00;good;Vincent;ARA;France;5;15267,80
Tata;Altroz;2023;Van;Petrol;AMT;26945;14684,00;excellent;Solomonberg;ON;Canada;2;13472,50
Honda;Accord;2016;Sedan;Petrol;Manual;69929;4716,00;excellent;East London;KZN;South Africa;9;7769,89
Ford;F-150;2021;Convertible;Petrol;DCT;65873;12625,00;fair;Pretoria;NC;South Africa;4;16468,25
Maruti;Dzire;2016;Sedan;Petrol;Automatic;188669;1854,00;good;Fischer;BFC;France;9;20963,22
Kia;Sonet;2018;SUV;Electric;Automatic;126531;8648,00;excellent;Jülich;ST;Germany;7;18075,86
Ford;Maverick;2015;Crossover;Hybrid;Automatic;257067;2412,00;good;Bruchsal;BY;Germany;10;25706,70
Audi;A4;2020;Pickup;Petrol;Manual;82274;18479,00;good;South Christine;CA;US;5;16454,80
BMW;3 Series;2016;Crossover;Hybrid;Automatic;193574;5229,00;good;Oranienburg;BB;Germany;9;21508,22
Audi;Q3;2021;Convertible;Petrol;CVT;48012;28849,00;excellent;New Justin;WA;Australia;4;12003,00
Skoda;Octavia;2022;MPV;Plug-in Hybrid;Automatic;34276;13596,00;fair;Lake Timothy;BC;Canada;3;11425,33
Toyota;Highlander;2018;MPV;Electric;Automatic;81836;6755,00;excellent;Port Carol;ENG;UK;7;11690,86
BMW;5 Series;2017;MPV;Petrol;CVT;196909;5035,00;good;Gifhorn;RP;Germany;8;24613,62
Mercedes-Benz;GLA;2018;Van;Plug-in Hybrid;Manual;41899;14723,00;excellent;Piercemouth;NJ;US;7;5985,57
Chevrolet;Equinox;2021;Van;Petrol;Automatic;63040;11593,00;excellent;Johnmouth;QC;Canada;4;15760,00
Tesla;Model 3;2011;MPV;Plug-in Hybrid;Automatic;226514;1793,00;good;Hamon;PACA;France;14;16179,57
Volkswagen;Taigun;2017;Pickup;Electric;Automatic;44122;10902,00;excellent;Bloemfontein;NC;South Africa;8;5515,25
Tesla;Model Y;2022;Hatchback;Hybrid;Manual;44429;16352,00;desconhecido;Durban;FS;South Africa;3;14809,67
Skoda;Octavia;2020;Pickup;Petrol;CVT;134201;11509,00;good;Sigmaringen;SH;Germany;5;26840,20
Nissan;Magnite;2012;Convertible;Electric;AMT;236029;2346,00;like new;Viersen;HE;Germany;13;18156,08
Ford;F-150;2022;Convertible;Petrol;Manual;56167;22100,00;excellent;Bhilai;WB;India;3;18722,33
Chevrolet;Equinox;2022;Van;Petrol;Automatic;32353;12587,00;fair;Williamstown;NT;Australia;3;10784,33
Mercedes-Benz;GLA;2012;Hatchback;Petrol;Manual;339356;1664,00;excellent;Neustadtner Waldnaab;NI;Germany;13;26104,31
Mahindra;Bolero;2013;SUV;Petrol;CVT;197432;1234,00;fair;Bailly;HDF;France;12;16452,67
Hyundai;Creta;2015;MPV;Petrol;Manual;193706;2342,00;good;Sainte AlfredVille;NAQ;France;10;19370,60
BMW;5 Series;2016;Hatchback;Petrol;Automatic;182471;3872,00;good;Besson;HDF;France;9;20274,56
Mercedes-Benz;GLA;2006;Crossover;Petrol;Automatic;246701;1253,00;salvage;Matthewport;NC;US;19;12984,26
Chevrolet;Trax;2025;Pickup;Plug-in Hybrid;Automatic;102993;53315,00;excellent;Deniseland;ACT;Australia;0;13684,21
Skoda;Kushaq;2011;Convertible;Petrol;DCT;172400;1864,00;excellent;South Jonathanstad;IL;US;14;12314,29
Toyota;Tacoma;2014;Sedan;Petrol;Manual;163127;1991,00;excellent;New Ellie;NIR;UK;11;14829,73
Mahindra;XUV700;2015;Hatchback;Petrol;Automatic;222586;1168,00;desconhecido;豊島区;Tokyo;Japan;10;22258,60
Chevrolet;Trax;2017;Coupe;Diesel;Automatic;77722;7524,00;new;Morganfurt;AZ;US;8;9715,25
Tesla;Model Y;2017;Crossover;Petrol;Manual;121829;6683,00;excellent;Câmara;PR;Brazil;8;15228,62
Ford;Explorer;2015;Van;Petrol;Automatic;237718;2324,00;good;Etawah;PB;India;10;23771,80
BMW;X5;2019;Sedan;Diesel;Manual;93051;9810,00;excellent;Lake Sabrina;MB;Canada;6;15508,50
Tata;Altroz;2021;Crossover;CNG;Manual;79671;9345,00;good;Serampore;RJ;India;4;19917,75
Chevrolet;Malibu;2023;Pickup;Petrol;Automatic;28313;30968,00;excellent;安房郡鋸南町;Kyoto;Japan;2;14156,50
Volkswagen;Taigun;2013;Hatchback;Electric;CVT;149055;1322,00;like new;Petersontown;NT;Australia;12;12421,25
Mahindra;XUV700;2013;Pickup;Electric;Automatic;171623;2333,00;excellent;江東区;Aichi;Japan;12;14301,92
Maruti;Dzire;2021;Hatchback;Diesel;Manual;59040;5531,00;good;Johannesburg;GP;South Africa;4;14760,00
Mahindra;Bolero;2019;Convertible;Plug-in Hybrid;CVT;76260;10935,00;excellent;BlinBourg;BFC;France;6;12710,00
Tata;Altroz;2016;Pickup;Petrol;DCT;229459;2663,00;good;あきる野市;Kanagawa;Japan;9;25495,44
Tesla;Model Y;2020;Sedan;Electric;Automatic;99326;16076,00;good;Haldia;GJ;India;5;19865,20
Chevrolet;Trax;2017;Van;Petrol;Manual;140918;5767,00;like new;Wolfratshausen;MV;Germany;8;17614,75
Tata;Altroz;2019;MPV;Hybrid;Automatic;80039;5324,00;like new;Cape Town;GP;South Africa;6;13339,83
BMW;5 Series;2017;Coupe;Petrol;Manual;151797;8697,00;good;Jehanabad;TG;India;8;18974,62
Skoda;Slavia;2007;Van;CNG;Automatic;362589;1222,00;excellent;Blanchard-sur-Mer;IDF;France;18;20143,83
Ford;Escape;2025;Sedan;Petrol;Manual;102993;24471,00;good;Bloemfontein;MP;South Africa;0;13684,21
Hyundai;i20;2016;Crossover;Hybrid;Automatic;139008;4602,00;good;Panihati;KL;India;9;15445,33
Mahindra;Bolero;2022;Pickup;CNG;Manual;57871;14161,00;good;Martineau;GES;France;3;19290,33
Honda;CR-V;2021;MPV;Petrol;Automatic;60999;9081,00;fair;Port Jeffrey;TAS;Australia;4;15249,75
Honda;Accord;2017;MPV;Petrol;CVT;106385;2147,00;salvage;Kellyton;WLS;UK;8;13298,12
BMW;3 Series;2021;Hatchback;Diesel;Manual;60730;13468,00;good;Emmendingen;HB;Germany;4;15182,50
